ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment
PPar_stem_94_1,PPar_stem_94,go_down,1,ɨ ɸ ɨ - - t o
kar_stem_95_1,kar_stem_95,defecate,1,u w e - k a
mak_stem_96_1,mak_stem_96,defecate,1,- w e - k a
kax_stem_97_1,kax_stem_97,defecate,1,- w e - k a
ara_stem_98_1,ara_stem_98,defecate,1,- w a t k e
ikp_stem_99_1,ikp_stem_99,defecate,1,- - a t k e
way_stem_100_1,way_stem_100,defecate,1,u - i - k a
tri_stem_101_1,tri_stem_101,defecate,1,- w e - k a
bak_stem_102_1,bak_stem_102,DETRZ,1,ə -
bak_stem_102_2,bak_stem_102,defecate,2,- - e - k e
apa_stem_103_1,apa_stem_103,defecate,1,- w e - k a
pan_stem_104_1,pan_stem_104,defecate,1,- - i ʔ k a
pan_stem_105_1,pan_stem_105,DETRZ,1,a -
pan_stem_105_2,pan_stem_105,defecate,2,- - i ʔ k a
apa_stem_106_1,apa_stem_106,go,1,ɨ t o - -
yuk_stem_107_1,yuk_stem_107,say,1,k a - - -
ara_stem_108_1,ara_stem_108,be_2,1,i t͡ʃ i
ara_stem_109_1,ara_stem_109,be_1,1,a p -
car_stem_110_1,car_stem_110,be_2,1,e t͡ʃ i
hix_stem_111_1,hix_stem_111,be_1,1,a h -
hix_stem_112_1,hix_stem_112,be_2,1,e ʃ e
ikp_stem_113_1,ikp_stem_113,be_2,1,e t͡ʃ i
aku_stem_114_1,aku_stem_114,be_1,1,a - -
car_stem_115_1,car_stem_115,be_1,1,a - -
tri_stem_116_1,tri_stem_116,be_1,1,a - -
yuk_stem_117_1,yuk_stem_117,be_1,1,a - -
yuk_stem_118_1,yuk_stem_118,be_2,1,e - -
wai_stem_119_1,wai_stem_119,be_1,1,a - -
wai_stem_120_1,wai_stem_120,be_2,1,ee ʃ i
tri_stem_121_1,tri_stem_121,be_2,1,e - i
bak_stem_122_1,bak_stem_122,be_1,1,a - -
bak_stem_123_1,bak_stem_123,be_2,1,i - -
ikp_stem_124_1,ikp_stem_124,be_1,1,e t͡ʃ i
PPek_stem_125_1,PPek_stem_125,be_1,1,a p -
PTir_stem_126_1,PTir_stem_126,be_1,1,a - -
aku_stem_127_1,aku_stem_127,be_2,1,e ʔ i
PPek_stem_128_1,PPek_stem_128,be_2,1,e t͡ʃ i
PTir_stem_129_1,PTir_stem_129,be_2,1,e ʔ i
PWai_stem_130_1,PWai_stem_130,be_2,1,e ʃ i
