"Meaning_ID","Verb_Cognateset_ID","Language_ID","Inflection","Form","Prefix_Cognateset_ID","Source","Full_Form","Comment"
"come","come","wbak",1,"k-əewə-","k","meiraDBwbakairi","k-âewâ-li",
"come","come","wbak",3,"k-əe-","3sa","meiraDBwbakairi","n-âe-tom-bâra",
"go_down","go_down","car",1,"j-ehɨtə-","1p","pc[David Felipe Guerrero]","y-ejïtë-e",
"say","say","car",1,"∅-ka-","1w","pc[David Felipe Guerrero]","ka-e",
"go_down","go_down+?","ikp",1,"∅-ipto+ŋ-","1w","pc[Fael Ikpeng]","∅-iptoŋ-tʃi",
"come","DETRZ+come","kax",1,"w-oo+hɨ-","1w","pc[Spike Gildea]","woohïwï",
"come","DETRZ+come","kax",2,"m-oo+hɨ-","2sa","pc[Spike Gildea]","moohïwï",
"come","come","kax",3,"n-ehɨ-","3sa","pc[Spike Gildea]","nehïwï",
"come","DETRZ+come","kax","1.PROG","∅-w-oo+hɨ-","1p","pc[Spike Gildea]","woohïrï",
"come","DETRZ+come","kax","1+2","kɨs-o+hɨ-","kut","pc[Spike Gildea]","kïsohïwï",
"come","DETRZ+come","kax","1+2.PROG","ku-w-o+hɨ-",,"pc[Spike Gildea]","kuwohïrï",
"come","DETRZ+come","kax","2.PROG","o-w-o+hɨ-","2p","pc[Spike Gildea]","owohïrï",
"come","come","kax","3.PROG","∅-johɨ-",,"pc[Spike Gildea]","yohïrï",
"dream",,"kax","1.PROG","∅-w-osone-",,"pc[Spike Gildea]","wosonerï",
"dream",,"kax","1+2.PROG","ku-w-osone-",,"pc[Spike Gildea]","kuwosonerï",
"dream",,"kax","2.PROG","o-w-osone-",,"pc[Spike Gildea]","owosonerï",
"dream",,"kax","3.PROG","∅-osone-",,"pc[Spike Gildea]","osonerï",
"go","go","kax","1.PROG","∅-wɨ-to-",,"pc[Spike Gildea]","wïtorï",
"go","go","kax","1+2.PROG","kɨ-w-to-",,"pc[Spike Gildea]","kïwtorï",
"go","go","kax","2.PROG","o-w-to-",,"pc[Spike Gildea]","owtorï",
"go","go","kax","3.PROG","i-to-",,"pc[Spike Gildea]","itorï",
"go","go","kax","IMP","itooko",,"pc[Spike Gildea]",,
"be","be_1","wai",1,"w-a-","1w","pc[Spike Gildea]","way",
"be","be_2","wai",1,"w-eeʃi-","1w","pc[Spike Gildea]","weexi",
"be","be_1","ebak",1,"w-a(wɨ)-","1w","pinto2022bakairi[111]; meiraDBebakairi","u-a-uɨlɨ; w-akynre",
"be","be_1","ebak","1+2","kɨd-awɨ-","kut","pinto2022bakairi[112]","kɨd-a-uɨlɨ ","Segmentation supported by Meira's database."
"be","be_2","ebak",1,"w-i-","1w","pinto2022bakairi[112]","u-i-dɨlɨ",
"be","be_2","ebak","1+2","kɨd-i-","kut","pinto2022bakairi[112]","kɨd-i-dɨlɨ",
"come","DETRZ+come","ebak",1,"k-ə+ewɨ-","k","pinto2022bakairi[129]","k-əe-uɨlɨ",
